pChEMBL Value,Molecule ChEMBL ID,Smiles,Molecule Name,Set
4.23,CHEMBL5288870,CC(C)CNc1ccnc(NC(=O)c2csc(-c3ccccc3)n2)n1,,Train
4.24,CHEMBL5170486,CCCCN(C)Cc1cc2c(cc1-c1cc3ccc4c(c3cn1)OCO4)OCO2,,Train
4.26,CHEMBL4649095,Cn1cc(-c2cnc(N)c(Oc3ccc(C(=O)Nc4cccc(Cl)n4)cc3)n2)cn1,,Train
4.26,CHEMBL5207176,c1c(CN2CCCCCC2)c(-c2cc3ccc4c(c3cn2)OCO4)cc2c1OCO2,,Train
4.31,CHEMBL4452076,COc1cc(/C=C/C(=O)Nc2ccc(CC(=O)NN)cc2)ccc1O,,Train
4.32,CHEMBL4634849,CCCNC(=O)c1ccc(Oc2nc(-c3c(C)noc3C)cnc2N)cc1,,Train
4.32,CHEMBL4638925,Cn1cc(-c2cnc(N)c(Oc3ccc(C(=O)Nc4cc(Cl)ccn4)cc3)n2)cn1,,Train
4.32,CHEMBL3805391,C[C@]12CC[C@H](OC(=O)Cn3cc(CN4C(=O)C(=O)c5cc(Cl)ccc54)nn3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,Train
4.34,CHEMBL3805290,C[C@]12CC[C@H](OC(=O)Cn3cc(CN4C(=O)C(=O)c5ccccc54)nn3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,Train
4.34,CHEMBL4639932,Cc1noc(C)c1-c1cnc(N)c(Oc2ccc(C(=O)Nc3ccc(Cl)cn3)cc2)n1,,Train
4.35,CHEMBL4649216,Cn1cc(-c2cnc(N)c(Oc3ccc(C(=O)Nc4ccccc4Cl)cc3)n2)cn1,,Train
4.36,CHEMBL3805762,C[C@]12CC[C@H](OC(=O)Cn3cc(COc4ccc5ccc(=O)oc5c4)nn3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,Train
4.36,CHEMBL4632430,Cc1noc(C)c1-c1cnc(N)c(Oc2ccc(C(=O)NC3CC3)cc2)n1,,Train
4.39,CHEMBL4635731,Cc1noc(C)c1-c1cnc(N)c(Oc2ccc(C(=O)NC3CCCCC3)cc2)n1,,Train
4.4,CHEMBL3804989,C[C@]12CC[C@H](OC(=O)Cn3cc(COc4cc(=O)oc5ccccc45)nn3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,Train
4.41,CHEMBL3806016,C[C@]12CC[C@H](OC(=O)Cn3cc(CN4C(=O)C(=O)c5cc(Br)ccc54)nn3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,Train
4.42,CHEMBL5562084,CC(C)CNC(=O)CC[C@@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O,,Train
4.42,CHEMBL4635455,Cn1cc(-c2cnc(N)c(Oc3ccc(C(=O)Nc4ncccc4Cl)cc3)n2)cn1,,Train
4.43,CHEMBL5567673,CC(C)NC(=O)CC[C@@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O,,Train
4.45,CHEMBL4642258,Cn1cc(-c2cnc(N)c(Oc3ccc(C(=O)Nc4ccc(Cl)cc4)cc3)n2)cn1,,Train
4.46,CHEMBL3885217,O=c1c2nc3ccccc3nc2cc(-c2ccccc2)n1-c1ccc(Cl)cc1,,Train
4.48,CHEMBL5558526,CCCCCNC(=O)CC[C@@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)O,,Train
4.49,CHEMBL4068246,O=C(O)CCC(=O)OCCOc1c(S(=O)(=O)c2ccccc2)no[n+]1[O-],,Train
4.49,CHEMBL5563067,CCNC(=O)CC[C@@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)O,,Train
4.49,CHEMBL4856308,O=C(/C=C/c1ccccc1)O[C@H](c1ccccc1)[C@@H]1O[C@@H]2CC(=O)O[C@@H]2[C@@H]1O,,Train
4.5,CHEMBL3884794,CCOC(=O)c1nc2ccccc2nc1C#Cc1ccccc1C,,Train
4.51,CHEMBL4451749,COc1cc(/C=C/C(=O)Nc2cccc(OCC3CCNCC3)c2)ccc1O.Cl,,Train
4.51,CHEMBL5288916,CC(C)CNc1ccnc(NCc2csc(-c3ccccc3)c2)n1,,Train
4.52,CHEMBL3806288,C[C@]12CC[C@H](OC(=O)Cn3cc(COc4ccc(Br)cc4)nn3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,Train
4.54,CHEMBL5561148,CCCCNC(=O)CC[C@@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O,,Train
4.57,CHEMBL4647800,Cc1noc(C)c1-c1cnc(N)c(Oc2ccc(C(=O)N3CCOCC3)cc2)n1,,Train
4.57,CHEMBL5280867,CS(=O)(=O)N1CCN(Cc2ccc(-c3nc(-c4ccc(NC(=O)NN5CCOCC5)cc4)nc(N4CCOCC4)n3)s2)CC1,,Train
4.58,CHEMBL5288231,c1ccc(-c2nc(CNc3nccc(N4CCCC4)n3)cs2)cc1,,Train
4.58,CHEMBL5568088,Cc1ccc(S(=O)(=O)N[C@H](CCC(=O)NCC(C)C)C(=O)O)cc1,,Train
4.58,CHEMBL4640055,Cc1noc(C)c1-c1cnc(N)c(Oc2ccc(C(=O)Nc3ccccc3)cc2)n1,,Train
4.6,CHEMBL5283175,CS(=O)(=O)N1CCN(Cc2ccc(-c3nc(-c4ccc(NC(=O)Nc5ccncn5)cc4)nc(N4CCOCC4)n3)s2)CC1,,Train
4.62,CHEMBL3884559,Cc1ccc(-c2cc3nc4ccccc4nc3c(=O)n2-c2ccccc2)cc1,,Train
4.63,CHEMBL3109730,O=C1C=C(O)C(=O)C(CC2CCC3CCCCC3C2)=C1O,,Train
4.63,CHEMBL4753177,Cc1ccc(Oc2c(/C=N\CCCCCCOc3cc4oc(=O)cc(C)c4cc3Cl)c(C)nn2C)cc1,,Train
4.65,CHEMBL4646392,Cn1cc(-c2cnc(N)c(Oc3ccc(C(=O)Nc4ccc(Cl)cn4)cc3)n2)cn1,,Train
4.66,CHEMBL3310803,COc1c(NS(=O)(=O)c2ccc(F)cc2)cc(-c2ccc3nc(NC(C)=O)sc3n2)cc1C(N)=O,,Train
4.66,CHEMBL4791408,Cc1nn(C)c(Oc2ccccc2Br)c1/C=N\CCCCCCOc1cc2oc(=O)cc(C)c2cc1Cl,,Train
4.66,CHEMBL4644226,Cn1cc(-c2cnc(N)c(Oc3ccc(C(=O)Nc4cccc(Cl)c4)cc3)n2)cn1,,Train
4.67,CHEMBL5274151,c1ccc(-c2nc(CNc3nccc(N4CCC4)n3)cs2)cc1,,Train
4.67,CHEMBL4633273,Cc1noc(C)c1-c1cnc(N)c(Oc2ccc(C(=O)N3CCN(C)CC3)cc2)n1,,Train
4.67,CHEMBL3805597,C[C@]12CC[C@H](OC(=O)Cn3cc(CN4C(=O)C(=O)c5c(Br)cccc54)nn3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,Train
4.67,CHEMBL3883573,O=c1c2nc3ccccc3nc2cc(-c2ccccc2)n1-c1ccccc1,,Train
4.67,CHEMBL4648447,O=C(O)c1cccc(-n2nnc3c2C(=O)c2ccccc2C3=O)c1,,Train
4.68,CHEMBL3805763,C[C@]12CC[C@H](OC(=O)Cn3cc(CN4C(=O)C(=O)c5cccc(Cl)c54)nn3)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,Train
4.69,CHEMBL5562675,CNC(=O)CC[C@@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O,,Train
4.69,CHEMBL5560959,Cc1ccc(S(=O)(=O)N[C@H](CCC(=O)NC(C)C)C(=O)O)cc1,,Train
4.69,CHEMBL3310804,COc1c(NS(=O)(=O)c2ccc(F)cc2)cc(-c2ccc3nc(NC(=O)C4CC4)sc3n2)cc1C(N)=O,,Train
4.7,CHEMBL4205181,CNC(=O)c1cc(Oc2ccc(NC(=O)c3cc4cccnc4n(-c4ccc(C(F)(F)F)cc4Cl)c3=O)cc2)ccn1,,Train
4.7,CHEMBL5561771,Cc1ccc(S(=O)(=O)N[C@H](CCC(N)=O)C(=O)O)cc1,,Train
4.73,CHEMBL4763389,Cc1nn(C)c(Oc2ccc(Cl)cc2)c1/C=N\CCCCCOc1cc2oc(=O)cc(C)c2cc1Cl,,Train
4.73,CHEMBL3806219,Cc1ccc(OCc2cn(CC(=O)O[C@H]3CC[C@@]4(C)C(=CC[C@@H]5[C@@H]4CC[C@]4(C)C(=O)CC[C@@H]54)C3)nn2)cc1,,Train
4.74,CHEMBL5276542,CS(=O)(=O)N1CCN(Cc2ccc(-c3nc(-c4ccc(NC(=O)Nc5nc[nH]n5)cc4)nc(N4CCOCC4)n3)s2)CC1,,Train
4.75,CHEMBL3310590,NC(=O)c1cc(-c2ccc3nc(NC(=O)C4CC4)sc3c2)cc(NS(=O)(=O)c2ccc(F)cc2)c1Cl,,Train
4.75,CHEMBL5560744,O=C(CC[C@@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O)NCc1ccccc1,,Train
4.76,CHEMBL5557636,Cc1ccc(S(=O)(=O)N[C@H](CCC(=O)NCc2ccccc2)C(=O)O)cc1,,Train
4.775,CHEMBL465843,COc1cc(/C=C/C(=O)N2CCC=CC2=O)cc(OC)c1OC,PIPLARTINE,Train
4.78,CHEMBL4788103,Cc1nn(C)c(Oc2ccc(F)cc2)c1/C=N\CCCCCCOc1cc2oc(=O)cc(C)c2cc1Cl,,Train
4.78,CHEMBL5563434,CCCCNC(=O)CC[C@@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)O,,Train
4.78,CHEMBL5269859,CC(C)CNc1ccnc(NCc2csc(-c3ccc(Cl)cc3)n2)n1,,Train
4.78,CHEMBL4789652,Cc1nn(C)c(Oc2ccc(I)cc2)c1/C=N\CCCCCCOc1cc2oc(=O)cc(C)c2cc1Cl,,Train
4.79,CHEMBL4088848,COc1ccc(-n2c(=O)c(C(=O)Nc3ccc(Oc4ccnc5cc(OCCCN6CCOCC6)c(OC)cc45)c(F)c3)nc3ccccc32)c(OC)c1,,Train
4.79,CHEMBL5564960,CCNC(=O)CC[C@@H](NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)C(=O)O,,Train
4.79,CHEMBL4577179,C=C1C(=O)O[C@H]2[C@H]1CC/C(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)/C1=C/CC[C@@]3(C)O[C@H]3[C@H]3OC(=O)C(=C)[C@@H]3CC1)=C\CC[C@@]1(C)O[C@@H]21,,Train
4.79,CHEMBL5279397,CCCN(CCC)c1ccnc(NCc2csc(-c3ccccc3)n2)n1,,Train
4.81,CHEMBL4636044,Cc1noc(C)c1-c1cnc(N)c(Oc2ccc(C(=O)Nc3ccc(Cl)cc3)cc2)n1,,Train
4.82,CHEMBL4483778,C=C1C(=O)O[C@H]2[C@H]1CC/C(C(=O)OCCOCCOCCOCCOCCOCCOC(=O)/C1=C/CC[C@@]3(C)O[C@H]3[C@H]3OC(=O)C(=C)[C@@H]3CC1)=C\CC[C@@]1(C)O[C@@H]21,,Train
4.82,CHEMBL5282212,CS(=O)(=O)N1CCN(Cc2ccc(-c3nc(-c4ccc(NC(=O)Nc5ccc6[nH]ncc6c5)cc4)nc(N4CCOCC4)n3)s2)CC1,,Train
4.82,CHEMBL4208931,CNC(=O)c1cc(Oc2ccc(NC(=O)c3cc4cccnc4n(-c4ccc(Br)cc4)c3=O)cc2)ccn1,,Train
4.83,CHEMBL5288388,CCCCN(CCCC)c1ccnc(NCc2csc(-c3ccccc3)n2)n1,,Train
4.83,CHEMBL5624511,COc1cc(C(=O)/C=C/c2ccc(C(=O)N3CCN(Cc4ccccc4)C34COC4)o2)cc(OC)c1OC,,Train
