Molecule ChEMBL ID,Cell Name,Standard Type,Assay,Incubation Time Hours,Property Measured,max,min,mean,median,count
CHEMBL106468,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.0,8.0,8.0,8.0,1
CHEMBL106533,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.89,8.89,8.89,8.89,1
CHEMBL106767,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.4,8.4,8.4,8.4,1
CHEMBL106790,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.36,8.36,8.36,8.36,1
CHEMBL106813,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.29,8.29,8.29,8.29,1
CHEMBL106982,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.15,8.15,8.15,8.15,1
CHEMBL107,U-87MG ATCC,IC50,MTT,48.0,Antiproliferative activity,7.44,7.44,7.44,7.44,1
CHEMBL107092,U-87MG ATCC,IC50,Unspecified,,Unspecified,9.0,9.0,9.0,9.0,1
CHEMBL107154,U-87MG ATCC,IC50,Unspecified,,Unspecified,9.0,9.0,9.0,9.0,1
CHEMBL1076555,U-87MG ATCC,IC50,SRB,72.0,Cytotoxicity,4.97,4.97,4.97,4.97,1
CHEMBL1078983,U-87MG ATCC,IC50,Western Blot,2.0,Unspecified,7.0,6.82,6.91,6.91,2
CHEMBL1079175,AM-38,IC50,Unspecified,,Growth inhibition,4.64,4.64,4.64,4.64,1
CHEMBL1079175,SF126,IC50,Unspecified,,Growth inhibition,5.07,5.07,5.07,5.07,1
CHEMBL1079175,SF295,IC50,Unspecified,,Growth inhibition,5.24,5.24,5.24,5.24,1
CHEMBL1079175,SNB-75,IC50,Unspecified,,Growth inhibition,5.18,5.18,5.18,5.18,1
CHEMBL1079175,T98G,IC50,Unspecified,,Growth inhibition,5.09,5.09,5.09,5.09,1
CHEMBL1080569,U-87MG ATCC,EC50,Alamar Blue,72.0,Cytotoxicity,6.42,6.42,6.42,6.42,1
CHEMBL1080569,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.61,6.6,6.603333333333333,6.6,3
CHEMBL1080911,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.45,6.45,6.45,6.45,1
CHEMBL1081029,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,5.22,5.22,5.22,5.22,1
CHEMBL1081105,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,5.42,5.42,5.42,5.42,1
CHEMBL1081263,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.37,6.37,6.37,6.37,1
CHEMBL1081295,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.05,6.05,6.05,6.05,1
CHEMBL1081296,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,5.89,5.89,5.89,5.89,1
CHEMBL1081628,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.35,6.35,6.35,6.35,1
CHEMBL1081829,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.14,6.14,6.14,6.14,1
CHEMBL1081831,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.52,6.52,6.52,6.52,1
CHEMBL1081831,U-87MG ATCC,IC50,alamar blue,72.0,Cytotoxicity,6.2,6.2,6.2,6.2,1
CHEMBL1081852,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.3,6.3,6.3,6.3,1
CHEMBL1081853,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.04,6.04,6.04,6.04,1
CHEMBL1082016,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.2,6.2,6.2,6.2,1
CHEMBL1084546,A-172,IC50,Unspecified,,Growth inhibition,4.92,4.92,4.92,4.92,1
CHEMBL1084546,AM-38,IC50,Unspecified,,Growth inhibition,5.05,5.05,5.05,5.05,1
CHEMBL1084546,KNS-42,IC50,Unspecified,,Growth inhibition,5.03,5.03,5.03,5.03,1
CHEMBL1084546,SF126,IC50,Unspecified,,Growth inhibition,5.27,5.27,5.27,5.27,1
CHEMBL1084546,SF295,IC50,Unspecified,,Growth inhibition,5.19,5.19,5.19,5.19,1
CHEMBL1084546,SNB-75,IC50,Unspecified,,Growth inhibition,5.32,5.32,5.32,5.32,1
CHEMBL1084546,T98G,IC50,Unspecified,,Growth inhibition,4.57,4.57,4.57,4.57,1
CHEMBL1084546,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,4.58,4.58,4.58,4.58,1
CHEMBL1085588,SF126,IC50,MTT,72.0,Antiproliferative activity,4.05,4.05,4.05,4.05,1
CHEMBL1085588,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.06,4.06,4.06,4.06,1
CHEMBL1086706,U-87MG ATCC,IC50,MTT,24.0,Cytotoxicity,4.09,4.09,4.09,4.09,1
CHEMBL1086767,T98G,IC50,MTT,,Cytotoxicity,5.01,5.01,5.01,5.01,1
CHEMBL1087195,U-87MG ATCC,IC50,colorimetric,72.0,Cytotoxicity,4.1,4.1,4.1,4.1,1
CHEMBL1087476,U-87MG ATCC,IC50,MTT,24.0,Cytotoxicity,4.05,4.05,4.05,4.05,1
CHEMBL1087801,T98G,IC50,MTT,,Cytotoxicity,7.24,7.24,7.24,7.24,1
CHEMBL1087935,T98G,IC50,MTT,,Cytotoxicity,7.06,7.06,7.06,7.06,1
CHEMBL1088479,T98G,IC50,MTT,,Cytotoxicity,7.14,7.14,7.14,7.14,1
CHEMBL1088481,T98G,IC50,MTT,,Cytotoxicity,6.35,6.35,6.35,6.35,1
CHEMBL1089308,U-87MG ATCC,IC50,[3H]thymidine incorporation,48.0,Cytotoxicity,6.48,6.48,6.48,6.48,1
CHEMBL1089635,U-87MG ATCC,IC50,[3H]thymidine incorporation,48.0,Cytotoxicity,8.22,8.22,8.22,8.22,1
CHEMBL109008,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.77,8.77,8.77,8.77,1
CHEMBL1090090,A-172,IC50,Unspecified,,Growth inhibition,4.01,4.01,4.01,4.01,1
CHEMBL1090090,AM-38,IC50,Unspecified,,Growth inhibition,4.8,4.8,4.8,4.8,1
CHEMBL1090090,KNS-42,IC50,Unspecified,,Growth inhibition,4.22,4.22,4.22,4.22,1
CHEMBL1090090,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,4.0,4.0,4.0,4.0,1
CHEMBL1090771,A-172,IC50,Unspecified,,Growth inhibition,4.45,4.45,4.45,4.45,1
CHEMBL1090771,SF126,IC50,Unspecified,,Growth inhibition,4.36,4.36,4.36,4.36,1
CHEMBL1090771,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,4.21,4.21,4.21,4.21,1
CHEMBL109158,U-87MG ATCC,IC50,Unspecified,,Unspecified,9.3,9.3,9.3,9.3,1
CHEMBL1091644,A-172,IC50,Unspecified,,Growth inhibition,4.39,4.39,4.39,4.39,1
CHEMBL1091644,AM-38,IC50,Unspecified,,Growth inhibition,4.75,4.75,4.75,4.75,1
CHEMBL1091644,KNS-42,IC50,Unspecified,,Growth inhibition,4.18,4.18,4.18,4.18,1
CHEMBL1091644,SF126,IC50,Unspecified,,Growth inhibition,4.65,4.65,4.65,4.65,1
CHEMBL1091644,SNB-75,IC50,Unspecified,,Growth inhibition,4.85,4.85,4.85,4.85,1
CHEMBL109479,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,7.3,7.3,7.3,7.3,1
CHEMBL109480,A-172,IC50,Unspecified,,Growth inhibition,6.68,6.68,6.68,6.68,1
CHEMBL109480,AM-38,IC50,Unspecified,,Growth inhibition,6.68,6.68,6.68,6.68,1
CHEMBL109480,KNS-42,IC50,Unspecified,,Growth inhibition,5.88,5.88,5.88,5.88,1
CHEMBL109480,SF126,IC50,Unspecified,,Growth inhibition,5.31,5.31,5.31,5.31,1
CHEMBL109480,SF295,IC50,Unspecified,,Growth inhibition,7.19,7.19,7.19,7.19,1
CHEMBL109480,SNB-75,IC50,Unspecified,,Growth inhibition,6.92,6.92,6.92,6.92,1
CHEMBL109480,T98G,IC50,Unspecified,,Growth inhibition,7.39,7.39,7.39,7.39,1
CHEMBL109480,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,6.99,6.99,6.99,6.99,1
CHEMBL1095219,SF295,IC50,MTT,72.0,Cytotoxicity,5.71,5.71,5.71,5.71,1
CHEMBL1095526,SF295,IC50,MTT,72.0,Cytotoxicity,5.63,5.63,5.63,5.63,1
CHEMBL1095527,SF295,IC50,MTT,72.0,Cytotoxicity,5.75,5.75,5.75,5.75,1
CHEMBL1095548,SF295,IC50,MTT,72.0,Cytotoxicity,5.52,5.52,5.52,5.52,1
CHEMBL1095549,SF295,IC50,MTT,72.0,Cytotoxicity,4.99,4.99,4.99,4.99,1
CHEMBL1095626,U-87MG ATCC,IC50,Unspecified,,Antiproliferative activity,6.22,6.22,6.22,6.22,1
CHEMBL1095627,U-87MG ATCC,IC50,Unspecified,,Antiproliferative activity,7.92,7.92,7.92,7.92,1
CHEMBL1096067,U-87MG ATCC,IC50,sulforhodamine B,72.0,Antiproliferative activity,5.31,5.31,5.31,5.31,1
CHEMBL1096171,U-87MG ATCC,IC50,MTT,24.0,Cytotoxicity,4.09,4.09,4.09,4.09,1
CHEMBL1096180,U-87MG ATCC,IC50,MTT,24.0,Cytotoxicity,4.05,4.05,4.05,4.05,1
CHEMBL1096181,U-87MG ATCC,IC50,MTT,24.0,Cytotoxicity,4.11,4.11,4.11,4.11,1
CHEMBL1096221,U-87MG ATCC,IC50,Unspecified,,Cytotoxicity,4.68,4.68,4.68,4.68,1
CHEMBL109640,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,7.4,7.4,7.4,7.4,1
CHEMBL1096754,U-87MG ATCC,IC50,ELISA,0.5,Unspecified,9.13,9.13,9.13,9.13,1
CHEMBL1096754,U-87MG ATCC,IC50,trypan blue exclusion,48.0,Unspecified,9.77,9.39,9.58,9.58,2
CHEMBL1097298,U-87MG ATCC,IC50,MTT,48.0,Cytotoxicity,4.58,4.58,4.58,4.58,1
CHEMBL1097299,U-87MG ATCC,IC50,MTT,48.0,Cytotoxicity,5.05,5.05,5.05,5.05,1
CHEMBL1097300,U-87MG ATCC,IC50,MTT,48.0,Cytotoxicity,4.74,4.74,4.74,4.74,1
CHEMBL1097301,U-87MG ATCC,IC50,MTT,48.0,Cytotoxicity,4.69,4.69,4.69,4.69,1
CHEMBL1097302,U-87MG ATCC,IC50,MTT,48.0,Cytotoxicity,4.83,4.83,4.83,4.83,1
CHEMBL1097304,U-87MG ATCC,IC50,MTT,48.0,Cytotoxicity,4.81,4.81,4.81,4.81,1
CHEMBL1097307,U-87MG ATCC,IC50,MTT,48.0,Cytotoxicity,5.29,5.29,5.29,5.29,1
CHEMBL1097309,U-87MG ATCC,IC50,MTT,48.0,Cytotoxicity,5.07,5.07,5.07,5.07,1
CHEMBL1097310,U-87MG ATCC,IC50,MTT,48.0,Cytotoxicity,4.87,4.87,4.87,4.87,1
CHEMBL1097311,U-87MG ATCC,IC50,MTT,48.0,Cytotoxicity,4.89,4.89,4.89,4.89,1
CHEMBL1097312,U-87MG ATCC,IC50,MTT,48.0,Cytotoxicity,5.13,5.13,5.13,5.13,1
CHEMBL1097764,T98G,IC50,colorimetric sulphorhodamine B,,Cytotoxicity,5.2,5.2,5.2,5.2,1
CHEMBL1097919,U-87MG ATCC,IC50,MTT,72.0,Cytotoxicity,5.44,5.44,5.44,5.44,1
CHEMBL1098108,U-87MG ATCC,IC50,ELISA,0.5,Unspecified,10.21,10.21,10.21,10.21,1
CHEMBL1098108,U-87MG ATCC,IC50,trypan blue exclusion,48.0,Unspecified,10.24,10.04,10.14,10.14,2
CHEMBL1098852,SF295,IC50,MTT,72.0,Cytotoxicity,5.81,5.81,5.81,5.81,1
CHEMBL1098875,U-87MG ATCC,IC50,Unspecified,6.0,Unspecified,5.92,5.92,5.92,5.92,1
CHEMBL1098875,U-87MG ATCC,IC50,Unspecified,8.0,Unspecified,7.22,7.22,7.22,7.22,1
CHEMBL110185,U-87MG ATCC,IC50,Unspecified,,Unspecified,5.89,5.89,5.89,5.89,1
CHEMBL110525,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,7.16,7.16,7.16,7.16,1
CHEMBL110730,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.19,8.19,8.19,8.19,1
CHEMBL110742,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,9.05,9.05,9.05,9.05,1
CHEMBL110757,U-87MG ATCC,IC50,Unspecified,,Unspecified,9.05,9.05,9.05,9.05,1
CHEMBL110786,U-87MG ATCC,IC50,Unspecified,,Unspecified,7.42,7.42,7.42,7.42,1
CHEMBL110809,U-87MG ATCC,IC50,Unspecified,,Unspecified,7.39,7.39,7.39,7.39,1
CHEMBL111249,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,5.7,5.7,5.7,5.7,1
CHEMBL111300,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,6.1,6.1,6.1,6.1,1
CHEMBL111359,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,5.57,5.57,5.57,5.57,1
CHEMBL111383,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,6.16,6.16,6.16,6.16,1
CHEMBL111477,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,7.3,7.3,7.3,7.3,1
CHEMBL111490,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,8.05,8.05,8.05,8.05,1
CHEMBL111845,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,5.33,5.33,5.33,5.33,1
CHEMBL111998,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.49,8.49,8.49,8.49,1
CHEMBL112210,LN-229,IC50,MTT,72.0,Cytotoxicity,5.28,5.28,5.28,5.28,1
CHEMBL112299,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.4,8.4,8.4,8.4,1
CHEMBL112659,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.15,8.15,8.15,8.15,1
CHEMBL112760,U-87MG ATCC,IC50,Unspecified,,Unspecified,8.55,8.55,8.55,8.55,1
CHEMBL112938,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,6.52,6.52,6.52,6.52,1
CHEMBL113042,U-87MG ATCC,IC50,Unspecified,,Unspecified,9.1,9.1,9.1,9.1,1
CHEMBL113072,U-87MG ATCC,IC50,Unspecified,,Unspecified,9.3,9.3,9.3,9.3,1
CHEMBL113154,U-87MG ATCC,IC50,Unspecified,,Unspecified,9.0,9.0,9.0,9.0,1
CHEMBL113387,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,7.7,7.7,7.7,7.7,1
CHEMBL113436,U-87MG ATCC,IC50,Unspecified,,Unspecified,9.7,9.3,9.5,9.5,2
CHEMBL11359,A-172,IC50,Unspecified,,Growth inhibition,4.1,4.1,4.1,4.1,1
CHEMBL11359,KNS-42,IC50,Unspecified,,Growth inhibition,4.69,4.69,4.69,4.69,1
CHEMBL11359,SF126,IC50,Unspecified,,Growth inhibition,4.92,4.92,4.92,4.92,1
CHEMBL11359,SF295,IC50,Unspecified,,Growth inhibition,5.03,5.03,5.03,5.03,1
CHEMBL11359,SNB-75,IC50,Unspecified,,Growth inhibition,4.32,4.32,4.32,4.32,1
CHEMBL11359,U-87MG ATCC,IC50,Unspecified,24.0,Unspecified,6.31,6.31,6.31,6.31,1
CHEMBL11359,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,4.79,4.79,4.79,4.79,1
CHEMBL11359,XF 498,IC50,Unspecified,,Cytotoxicity,5.54,5.54,5.54,5.54,1
CHEMBL115487,U-87MG ATCC,IC50,Unspecified,,Unspecified,9.0,9.0,9.0,9.0,1
CHEMBL115716,U-87MG ATCC,IC50,Unspecified,,Unspecified,9.0,9.0,9.0,9.0,1
CHEMBL1160723,U-87MG ATCC,IC50,Unspecified,48.0,Unspecified,10.3,10.3,10.3,10.3,1
CHEMBL1163275,T98G,IC50,MTT,24.0,Anticancer activity,4.55,4.55,4.55,4.55,1
CHEMBL1163276,T98G,IC50,MTT,24.0,Anticancer activity,4.43,4.43,4.43,4.43,1
CHEMBL1163290,SF295,IC50,sulforhodamine B,48.0,Growth inhibition,5.04,5.04,5.04,5.04,1
CHEMBL1163290,SNB-75,IC50,sulforhodamine B,48.0,Growth inhibition,5.27,5.27,5.27,5.27,1
CHEMBL1163758,T98G,IC50,MTT,24.0,Anticancer activity,4.04,4.04,4.04,4.04,1
CHEMBL1163780,T98G,IC50,MTT,24.0,Anticancer activity,4.52,4.52,4.52,4.52,1
CHEMBL1163821,T98G,IC50,MTT,24.0,Anticancer activity,4.23,4.23,4.23,4.23,1
CHEMBL1163848,T98G,IC50,MTT,24.0,Anticancer activity,4.5,4.5,4.5,4.5,1
CHEMBL1163850,T98G,IC50,MTT,24.0,Anticancer activity,4.51,4.51,4.51,4.51,1
CHEMBL1164100,T98G,IC50,MTT,24.0,Anticancer activity,4.62,4.62,4.62,4.62,1
CHEMBL1164287,T98G,IC50,MTT,24.0,Anticancer activity,4.19,4.19,4.19,4.19,1
CHEMBL1164313,T98G,IC50,MTT,24.0,Anticancer activity,4.5,4.5,4.5,4.5,1
CHEMBL1164467,T98G,IC50,MTT,24.0,Anticancer activity,4.51,4.51,4.51,4.51,1
CHEMBL1164468,T98G,IC50,MTT,24.0,Anticancer activity,4.35,4.35,4.35,4.35,1
CHEMBL1164496,T98G,IC50,MTT,24.0,Anticancer activity,4.4,4.4,4.4,4.4,1
CHEMBL1164563,T98G,IC50,MTT,24.0,Anticancer activity,4.25,4.25,4.25,4.25,1
CHEMBL1164564,T98G,IC50,MTT,24.0,Anticancer activity,4.24,4.24,4.24,4.24,1
CHEMBL1164769,T98G,IC50,MTT,24.0,Anticancer activity,4.14,4.14,4.14,4.14,1
CHEMBL1164847,SF295,IC50,sulforhodamine B,48.0,Growth inhibition,5.9,5.9,5.9,5.9,1
CHEMBL1164847,SNB-75,IC50,sulforhodamine B,48.0,Growth inhibition,4.96,4.96,4.96,4.96,1
CHEMBL1164872,T98G,IC50,MTT,24.0,Anticancer activity,4.35,4.35,4.35,4.35,1
CHEMBL1164920,U-87MG ATCC,IC50,MTT,72.0,Antiproliferative activity,4.85,4.85,4.85,4.85,1
CHEMBL1165153,T98G,IC50,MTT,24.0,Anticancer activity,4.26,4.26,4.26,4.26,1
CHEMBL1165205,T98G,IC50,MTT,24.0,Anticancer activity,4.6,4.6,4.6,4.6,1
CHEMBL1165314,T98G,IC50,MTT,24.0,Anticancer activity,4.34,4.34,4.34,4.34,1
CHEMBL1165315,T98G,IC50,MTT,24.0,Anticancer activity,4.16,4.16,4.16,4.16,1
CHEMBL1165327,T98G,IC50,MTT,24.0,Anticancer activity,4.12,4.12,4.12,4.12,1
CHEMBL1165328,T98G,IC50,MTT,24.0,Anticancer activity,4.14,4.14,4.14,4.14,1
CHEMBL1165527,T98G,IC50,MTT,24.0,Anticancer activity,4.96,4.96,4.96,4.96,1
CHEMBL1165533,T98G,IC50,MTT,24.0,Anticancer activity,4.42,4.42,4.42,4.42,1
CHEMBL1169610,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.44,6.44,6.44,6.44,1
CHEMBL1169623,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.55,6.55,6.55,6.55,1
CHEMBL1169766,SF295,IC50,sulpharhodamine B,48.0,Cytotoxicity,4.66,4.66,4.66,4.66,1
CHEMBL1170261,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.19,6.19,6.19,6.19,1
CHEMBL1170262,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,5.2,5.2,5.2,5.2,1
CHEMBL1170263,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,5.71,5.71,5.71,5.71,1
CHEMBL1170445,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.46,6.46,6.46,6.46,1
CHEMBL1170446,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.04,6.04,6.04,6.04,1
CHEMBL1170447,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,5.73,5.73,5.73,5.73,1
CHEMBL1170448,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.51,6.51,6.51,6.51,1
CHEMBL1171448,U-87MG ATCC,IC50,MTT,72.0,Cytotoxicity,4.86,4.86,4.86,4.86,1
CHEMBL1171647,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,6.51,6.51,6.51,6.51,1
CHEMBL1171837,A-172,IC50,Unspecified,,Growth inhibition,6.53,6.53,6.53,6.53,1
CHEMBL1171837,AM-38,IC50,Unspecified,,Growth inhibition,5.47,5.47,5.47,5.47,1
CHEMBL1171837,KNS-42,IC50,Unspecified,,Growth inhibition,5.73,5.73,5.73,5.73,1
CHEMBL1171837,SF126,IC50,Unspecified,,Growth inhibition,6.77,6.77,6.77,6.77,1
CHEMBL1171837,SF295,IC50,Unspecified,,Growth inhibition,5.44,5.44,5.44,5.44,1
CHEMBL1171837,SNB-75,IC50,Unspecified,,Growth inhibition,5.54,5.54,5.54,5.54,1
CHEMBL1171837,T98G,IC50,Unspecified,,Growth inhibition,6.71,6.71,6.71,6.71,1
CHEMBL117185,U-87MG ATCC,IC50,Unspecified,,Cytotoxicity,6.0,6.0,6.0,6.0,1
CHEMBL1171993,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,5.24,5.24,5.24,5.24,1
CHEMBL1171994,U-87MG ATCC,IC50,ELISA,1.0,Unspecified,5.84,5.84,5.84,5.84,1
CHEMBL1173055,A-172,IC50,Unspecified,,Growth inhibition,4.86,4.86,4.86,4.86,1
CHEMBL1173055,AM-38,IC50,Unspecified,,Growth inhibition,4.13,4.13,4.13,4.13,1
CHEMBL1173055,SF126,IC50,Unspecified,,Growth inhibition,4.94,4.94,4.94,4.94,1
CHEMBL1173055,SF295,IC50,Unspecified,,Growth inhibition,4.49,4.49,4.49,4.49,1
CHEMBL1173055,T98G,IC50,Unspecified,,Growth inhibition,4.25,4.25,4.25,4.25,1
CHEMBL1173055,U-87MG ATCC,IC50,alamar blue,72.0,Cytotoxicity,4.7,4.7,4.7,4.7,1
CHEMBL1173154,U-87MG ATCC,IC50,MTT,72.0,Cytotoxicity,5.26,5.26,5.26,5.26,1
CHEMBL1173655,A-172,IC50,Unspecified,,Growth inhibition,4.92,4.92,4.92,4.92,1
CHEMBL1173655,AM-38,IC50,Unspecified,,Growth inhibition,4.28,4.28,4.28,4.28,1
CHEMBL1173655,KNS-42,IC50,Unspecified,,Growth inhibition,4.45,4.45,4.45,4.45,1
CHEMBL1173655,SF126,IC50,Unspecified,,Growth inhibition,4.62,4.62,4.62,4.62,1
CHEMBL1173655,SF295,IC50,Unspecified,,Growth inhibition,4.58,4.58,4.58,4.58,1
CHEMBL1173655,SNB-75,IC50,Unspecified,,Growth inhibition,4.3,4.3,4.3,4.3,1
CHEMBL1173655,T98G,IC50,Unspecified,,Growth inhibition,4.56,4.56,4.56,4.56,1
CHEMBL1173655,U-87MG ATCC,IC50,Unspecified,,Growth inhibition,5.39,5.39,5.39,5.39,1
CHEMBL117427,U-87MG ATCC,IC50,Unspecified,,Unspecified,7.3,7.3,7.3,7.3,1
CHEMBL117616,U-87MG ATCC,IC50,Unspecified,,Unspecified,6.1,6.1,6.1,6.1,1
CHEMBL117784,U-87MG ATCC,IC50,Unspecified,,Unspecified,7.0,7.0,7.0,7.0,1
CHEMBL118201,U-87MG ATCC,IC50,Unspecified,,Unspecified,5.1,5.1,5.1,5.1,1
CHEMBL118218,SF295,IC50,sulforhodamine B,48.0,Cytotoxicity,6.5,6.5,6.5,6.5,1
CHEMBL118218,SNB-75,IC50,sulforhodamine B,48.0,Cytotoxicity,6.7,6.7,6.7,6.7,1
CHEMBL118655,U-87MG ATCC,IC50,Unspecified,,Unspecified,6.52,6.52,6.52,6.52,1
